sepallength,petallength,petalwidth,class
0.563636,0.51583,0.340081,Iris-setosa
0.626573,0.467181,0.388664,Iris-versicolor
0.605594,0.598456,0.676113,Iris-versicolor
0.572028,0.342857,0.722672,Iris-virginica
0.464336,0.620849,0.388664,Iris-setosa
0.584615,0.664093,0.530364,Iris-setosa
0.412587,0.602317,0.439271,Iris-virginica
0.472727,0.258687,0.716599,Iris-setosa
0.444755,0.535907,0.297571,Iris-virginica
0.509091,0.374517,0.491903,Iris-virginica
0.758042,0.404633,0.285425,Iris-setosa
0.290909,0.467954,0.382591,Iris-setosa
0.576224,0.52973,0.678138,Iris-virginica
0.318881,0.610811,0.591093,Iris-virginica
0.446154,0.535135,0.41498,Iris-versicolor
0.620979,0.43861,0.710526,Iris-virginica
0.506294,0.69112,0.560729,Iris-versicolor
0.379021,0.640154,0.265182,Iris-versicolor
0.41958,0.325869,0.809717,Iris-setosa
0.574825,0.291892,0.572874,Iris-versicolor
0.418182,0.338996,0.352227,Iris-virginica
0.523077,0.468726,0.315789,Iris-setosa
0.504895,0.453282,0.582996,Iris-virginica
0.426573,0.310425,0.512146,Iris-virginica
0.73986,0.67722,0.5,Iris-versicolor
0.570629,0.362934,0.421053,Iris-virginica
0.272727,0.454826,0.313765,Iris-virginica
0.52028,0.464865,0.615385,Iris-versicolor
0.425175,0.635521,0.534413,Iris-setosa
0.594406,0.6,0.635628,Iris-virginica
0.411189,0.302703,0.603239,Iris-setosa
0.486713,0.306564,0.781377,Iris-setosa
0.555245,0.539768,0.374494,Iris-virginica
0.595804,0.57529,0.55668,Iris-setosa
0.365035,0.569884,0.661943,Iris-setosa
0.461538,0.582239,0.374494,Iris-setosa
0.446154,0.668726,0.48583,Iris-virginica
0.426573,0.629344,0.493927,Iris-versicolor
0.696503,0.662548,0.605263,Iris-versicolor
0.544056,0.578378,0.48583,Iris-setosa
0.358042,0.822394,0.417004,Iris-versicolor
0.601399,0.623938,0.406883,Iris-versicolor
0.737063,0.497297,0.566802,Iris-setosa
0.615385,0.630888,0.663968,Iris-setosa
0.328671,0.428571,0.530364,Iris-setosa
0.444755,0.562934,0.6417,Iris-versicolor
0.640559,0.559846,0.417004,Iris-setosa
0.41958,0.599228,0.564777,Iris-setosa
0.54965,0.379151,0.412955,Iris-versicolor
0.586014,0.64556,0.578947,Iris-setosa
0.395804,0.494208,0.41498,Iris-setosa
0.492308,0.647876,0.607287,Iris-virginica
0.137063,0.525869,0.649798,Iris-versicolor
0.384615,0.535907,0.315789,Iris-setosa
0.471329,0.477992,0.720648,Iris-virginica
0.359441,0.472587,0.285425,Iris-versicolor
0.682517,0.559073,0.469636,Iris-versicolor
0.33986,0.474131,0.303644,Iris-virginica
0.45035,0.317375,0.423077,Iris-setosa
0.513287,0.496525,0.532389,Iris-virginica
0.66014,0.211583,0.364372,Iris-virginica
0.338462,0.380695,0.508097,Iris-versicolor
0.629371,0.395367,0.453441,Iris-virginica
0.500699,0.578378,0.459514,Iris-setosa
0.388811,0.80695,0.508097,Iris-virginica
0.551049,0.459459,0.437247,Iris-setosa
0.521678,0.549035,0.722672,Iris-setosa
0.432168,0.654826,0.342105,Iris-setosa
0.507692,0.538996,0.433198,Iris-virginica
0.455944,0.318147,0.524291,Iris-virginica
0.511888,0.435521,0.686235,Iris-versicolor
0.573427,0.56834,0.469636,Iris-versicolor
0.676923,0.577606,0.645749,Iris-versicolor
0.360839,0.751351,0.554656,Iris-setosa
0.738462,0.562162,0.546559,Iris-setosa
0.281119,0.698069,0.483806,Iris-versicolor
0.482517,0.420849,0.538462,Iris-versicolor
0.565035,0.244788,0.765182,Iris-setosa
0.53007,0.525869,0.459514,Iris-versicolor
0.429371,0.796139,0.327935,Iris-versicolor
0.475524,0.423166,0.493927,Iris-setosa
0.444755,0.749807,0.548583,Iris-virginica
0.433566,0.616988,0.680162,Iris-virginica
0.594406,0.485714,0.576923,Iris-versicolor
0.53986,0.483398,0.465587,Iris-versicolor
0.422378,0.573745,0.455466,Iris-setosa
0.6,0.294208,0.506073,Iris-virginica
0.534266,0.498842,0.605263,Iris-setosa
0.59021,0.577606,0.303644,Iris-versicolor
0.569231,0.545174,0.58502,Iris-setosa
0.406993,0.556757,0.62753,Iris-setosa
0.436364,0.540541,0.477733,Iris-virginica
0.583217,0.542085,0.532389,Iris-virginica
0.567832,0.496525,0.819838,Iris-virginica
0.496503,0.342085,0.497976,Iris-setosa
0.511888,0.602317,0.532389,Iris-setosa
0.641958,0.490347,0.609312,Iris-versicolor
0.433566,0.50888,0.374494,Iris-versicolor
0.560839,0.566023,0.57085,Iris-setosa
0.476923,0.377606,0.526316,Iris-versicolor
0.475524,0.516602,0.52834,Iris-virginica
0.622378,0.600772,0.595142,Iris-setosa
0.591608,0.540541,0.619433,Iris-virginica
0.59021,0.586873,0.419028,Iris-versicolor
0.644755,0.348263,0.554656,Iris-versicolor
0.502098,0.545946,0.643725,Iris-versicolor
0.576224,0.504247,0.404858,Iris-versicolor
0.464336,0.421622,0.672065,Iris-virginica
0.535664,0.476448,0.578947,Iris-versicolor
0.485315,0.519691,0.538462,Iris-virginica
0.51049,0.518147,0.516194,Iris-versicolor
0.566434,0.681081,0.449393,Iris-versicolor
0.408392,0.501931,0.398785,Iris-versicolor
0.732867,0.614672,0.334008,Iris-setosa
0.387413,0.524324,0.518219,Iris-versicolor
0.363636,0.432432,0.534413,Iris-versicolor
0.629371,0.479537,0.759109,Iris-versicolor
0.587413,0.450965,0.360324,Iris-setosa
0.569231,0.583012,0.631579,Iris-versicolor
0.569231,0.583012,0.708502,Iris-setosa
0.497902,0.33668,0.522267,Iris-virginica
0.398601,0.487259,0.491903,Iris-virginica
0.507692,0.594595,0.380567,Iris-virginica
0.423776,0.441699,0.55668,Iris-versicolor
0.608392,0.518919,0.576923,Iris-versicolor
0.482517,0.60695,0.271255,Iris-virginica
0.406993,0.459459,0.619433,Iris-setosa
0.462937,0.622394,0.32996,Iris-virginica
0.545455,0.545174,0.690283,Iris-virginica
0.436364,0.608494,0.560729,Iris-virginica
0.406993,0.603861,0.532389,Iris-versicolor
0.525874,0.366023,0.475709,Iris-setosa
0.527273,0.679537,0.502024,Iris-virginica
0.441958,0.690347,0.479757,Iris-virginica
0.446154,0.503475,0.398785,Iris-virginica
0.525874,0.641699,0.477733,Iris-versicolor
0.337063,0.525869,0.645749,Iris-versicolor
0.341259,0.571429,0.593117,Iris-versicolor
0.41958,0.718919,0.578947,Iris-versicolor
0.475524,0.587645,0.512146,Iris-versicolor
0.534266,0.437066,0.62753,Iris-setosa
0.664336,0.511021,0.459514,Iris-versicolor
0.595804,0.46332,0.544534,Iris-virginica
0.481119,0.45251,0.704453,Iris-versicolor
0.496503,0.53668,0.516194,Iris-setosa
0.387413,0.48417,0.34413,Iris-versicolor
0.497902,0.576834,0.526316,Iris-setosa
0.467133,0.564479,0.633603,Iris-virginica
0.535664,0.571429,0.621457,Iris-versicolor
0.406993,0.49112,0.465587,Iris-setosa
0.558042,0.566023,0.291498,Iris-versicolor
0.671329,0.513514,0.269231,Iris-versicolor
0.486713,0.53668,0.686235,Iris-virginica
0.544056,0.480309,0.48583,Iris-versicolor
0.576224,0.440154,0.41498,Iris-versicolor
0.454545,0.448649,0.609312,Iris-virginica
0.524476,0.644788,0.396761,Iris-setosa
0.500699,0.700386,0.477733,Iris-virginica
0.51049,0.493436,0.336032,Iris-virginica
0.412587,0.498069,0.516194,Iris-setosa
0.502098,0.267181,0.404858,Iris-setosa
0.555245,0.49112,0.445344,Iris-setosa
0.661538,0.352896,0.530364,Iris-virginica
0.606993,0.644788,0.510121,Iris-setosa
0.73986,0.353668,0.449393,Iris-setosa
0.413986,0.604633,0.593117,Iris-virginica
0.597203,0.711969,0.477733,Iris-setosa
0.52028,0.569112,0.512146,Iris-setosa
0.744056,0.378378,0.532389,Iris-setosa
0.408392,0.478764,0.686235,?
0.405594,0.496525,0.481781,Iris-versicolor
0.432168,0.587645,0.625506,Iris-virginica
0.261538,0.297297,0.368421,Iris-versicolor
0.440559,0.396139,0.576923,Iris-versicolor
0.413986,0.758301,0.313765,Iris-versicolor
0.516084,0.67027,0.595142,Iris-setosa
0.537063,0.519691,0.625506,Iris-versicolor
0.709091,0.393822,0.301619,Iris-setosa
0.605594,0.476448,0.255061,Iris-virginica
0.434965,0.608494,0.439271,Iris-virginica
0.398601,0.505792,0.582996,Iris-versicolor
0.553846,0.498842,0.495951,Iris-setosa
0.351049,0.696525,0.52834,Iris-setosa
0.704895,0.555985,0.688259,Iris-virginica
0.630769,0.446332,0.536437,Iris-setosa
0.446154,0.630888,0.469636,Iris-virginica
0.307692,0.50888,0.487854,Iris-virginica
0.65035,0.43861,0.653846,Iris-versicolor
0.486713,0.538224,0.805668,Iris-setosa
0.637762,0.700386,0.805668,Iris-virginica
0.32028,0.607722,0.860324,Iris-setosa
0.432168,0.545174,0.275304,Iris-virginica
0.499301,0.430116,0.453441,Iris-virginica
0.504895,0.68417,0.502024,Iris-virginica
0.448951,0.601544,0.643725,Iris-virginica
0.569231,0.487259,0.688259,Iris-versicolor
0.38042,0.654826,0.801619,Iris-virginica
0.483916,0.679537,0.437247,Iris-setosa
0.513287,0.360618,0.550607,Iris-versicolor
0.556643,0.330502,0.508097,Iris-versicolor
0.579021,0.496525,0.582996,Iris-versicolor
0.373427,0.593822,0.5,Iris-versicolor
0.327273,0.52973,0.554656,Iris-versicolor
0.641958,0.659459,0.437247,Iris-virginica
0.537063,0.675676,0.449393,Iris-versicolor
0.415385,0.400772,0.398785,Iris-virginica
0.672727,0.454054,0.603239,Iris-versicolor
0.511888,0.430888,0.580972,Iris-virginica
0.630769,0.444788,0.512146,Iris-virginica
0.506294,0.495753,0.427126,Iris-setosa
0.73007,0.460232,0.338057,Iris-setosa
0.695105,0.500386,0.534413,Iris-versicolor
0.471329,0.355985,0.433198,Iris-virginica
0.608392,0.748263,0.643725,Iris-setosa
0.572028,0.461776,0.512146,Iris-versicolor
0.651748,0.526641,0.465587,Iris-setosa
0.391608,0.673359,0.771255,Iris-versicolor
0.576224,0.428571,0.568826,Iris-setosa
0.618182,0.745946,0.62753,Iris-virginica
0.302098,0.562162,0.435223,Iris-setosa
0.366434,0.59305,0.479757,Iris-virginica
0.271329,0.616216,0.479757,Iris-versicolor
0.468531,0.54749,0.477733,Iris-versicolor
0.579021,0.471042,0.538462,Iris-virginica
0.667133,0.609266,0.720648,Iris-setosa
0.507692,0.492664,0.479757,Iris-versicolor
0.681119,0.565251,0.568826,Iris-setosa
0.345455,0.315058,0.437247,Iris-versicolor
0.309091,0.56139,0.530364,Iris-versicolor
0.493706,0.655598,0.647773,Iris-setosa
0.542657,0.68417,0.62753,Iris-setosa
0.495105,0.488803,0.538462,Iris-versicolor
0.268531,0.479537,0.647773,Iris-versicolor
0.48951,0.373745,0.44332,Iris-virginica
0.353846,0.459459,0.342105,Iris-versicolor
0.574825,0.356757,0.41498,Iris-virginica
0.53986,0.648649,0.651822,Iris-versicolor
0.394406,0.684942,0.724696,Iris-setosa
0.441958,0.355985,0.757085,Iris-setosa
0.38042,0.494208,0.495951,Iris-setosa
0.492308,0.606178,0.653846,Iris-versicolor
0.605594,0.422394,0.495951,Iris-versicolor
0.388811,0.434749,0.576923,?
0.555245,0.43166,0.554656,Iris-versicolor
0.440559,0.511197,0.631579,Iris-setosa
0.411189,0.558301,0.811741,Iris-setosa
0.486713,0.417761,0.313765,Iris-setosa
0.383217,0.593822,0.423077,Iris-virginica
0.437762,0.469498,0.530364,Iris-setosa
0.365035,0.441699,0.552632,Iris-virginica
0.718881,0.40695,0.661943,Iris-setosa
0.503497,0.440927,0.427126,Iris-virginica
0.420979,0.485714,0.597166,Iris-setosa
0.523077,0.680309,0.625506,Iris-virginica
0.486713,0.260232,0.402834,Iris-setosa
0.474126,0.532046,0.51417,Iris-setosa
0.567832,0.623166,0.303644,Iris-setosa
0.584615,0.592278,0.580972,Iris-versicolor
0.440559,0.563707,0.287449,Iris-setosa
0.434965,0.530502,0.520243,Iris-setosa
0.468531,0.712741,0.331984,Iris-versicolor
0.241958,0.579923,0.736842,Iris-setosa
0.33007,0.67027,0.603239,Iris-setosa
0.651748,0.51583,0.48583,Iris-versicolor
0.683916,0.667181,0.574899,Iris-setosa
0.471329,0.574517,0.455466,Iris-versicolor
0.563636,0.654826,0.734818,Iris-setosa
0.534266,0.504247,0.578947,Iris-virginica
0.843357,0.537452,0.479757,Iris-setosa
0.625175,0.494208,0.473684,Iris-versicolor
0.485315,0.474131,0.665992,Iris-virginica
0.393007,0.48417,0.536437,Iris-setosa
0.318881,0.403089,0.473684,Iris-setosa
0.521678,0.477992,0.481781,Iris-versicolor
0.413986,0.732819,0.447368,Iris-virginica
0.33986,0.63861,0.449393,Iris-versicolor
0.426573,0.629344,0.518219,Iris-virginica
0.377622,0.528185,0.746964,Iris-versicolor
0.688112,0.565251,0.423077,Iris-virginica
0.598601,0.549807,0.623482,Iris-setosa
0.497902,0.593822,0.461538,Iris-versicolor
0.664336,0.433205,0.37247,Iris-setosa
0.507692,0.188417,0.65587,Iris-setosa
0.402797,0.617761,0.491903,Iris-versicolor
0.66993,0.549035,0.59919,Iris-setosa
0.559441,0.404633,0.700405,Iris-versicolor
0.383217,0.490347,0.38664,Iris-versicolor
0.478322,0.694208,0.439271,Iris-versicolor
0.401399,0.647876,0.645749,Iris-virginica
0.344056,0.708108,0.540486,Iris-virginica
0.602797,0.543629,0.643725,Iris-versicolor
0.713287,0.271042,0.6417,Iris-virginica
0.342657,0.632432,0.469636,Iris-virginica
0.562238,0.566795,0.534413,Iris-virginica
0.426573,0.518919,0.597166,Iris-setosa
0.444755,0.544402,0.540486,Iris-setosa
0.433566,0.664865,0.534413,Iris-versicolor
0.402797,0.571429,0.293522,Iris-setosa
0.504895,0.358301,0.502024,Iris-setosa
0.406993,0.376834,0.625506,Iris-versicolor
0.53007,0.451737,0.319838,Iris-versicolor
0.493706,0.414672,0.536437,Iris-setosa
0.472727,0.572973,0.423077,Iris-versicolor
0.397203,0.654054,0.668016,Iris-setosa
0.434965,0.493436,0.589069,Iris-virginica
0.583217,0.560618,0.668016,Iris-virginica
0.555245,0.53668,0.390688,Iris-versicolor
0.39021,0.407722,0.445344,Iris-setosa
0.51049,0.457915,0.439271,Iris-setosa
0.583217,0.410811,0.552632,Iris-versicolor
0.311888,0.583784,0.469636,Iris-virginica
0.559441,0.31583,0.512146,Iris-setosa
0.425175,0.54749,0.522267,Iris-virginica
0.563636,0.416216,0.595142,Iris-virginica
0.413986,0.583784,0.382591,Iris-virginica
0.297902,0.60695,0.661943,Iris-virginica
0.317483,0.721236,0.512146,Iris-versicolor
0.504895,0.509653,0.394737,Iris-virginica
0.528671,0.328958,0.368421,Iris-virginica
0.398601,0.40695,0.441296,Iris-setosa
0.570629,0.557529,0.45749,Iris-versicolor
0.313287,0.493436,0.524291,Iris-virginica
0.492308,0.461776,0.398785,Iris-versicolor
0.363636,0.630116,0.435223,Iris-setosa
0.426573,0.393822,0.489879,Iris-setosa
0.504895,0.524324,0.544534,Iris-virginica
0.402797,0.458687,0.32996,Iris-virginica
0.455944,0.555985,0.631579,Iris-versicolor
0.612587,0.666409,0.483806,Iris-versicolor
0.434965,0.476448,0.554656,Iris-versicolor
0.593007,0.407722,0.368421,Iris-virginica
0.373427,0.669498,0.659919,Iris-virginica
0.558042,0.342085,0.477733,Iris-versicolor
0.66014,0.454826,0.435223,Iris-virginica
0.222378,0.608494,0.376518,Iris-setosa
0.40979,0.462548,0.461538,Iris-virginica
0.563636,0.618533,0.475709,Iris-setosa
0.476923,0.590734,0.522267,Iris-setosa
0.541259,0.461776,0.52834,Iris-setosa
0.432168,0.248649,0.589069,Iris-versicolor
0.509091,0.471042,0.548583,Iris-virginica
0.482517,0.549035,0.38664,Iris-versicolor
0.629371,0.440154,0.425101,Iris-virginica
0.527273,0.509653,0.645749,Iris-virginica
0.537063,0.73668,0.441296,Iris-virginica
0.453147,0.553668,0.392713,Iris-setosa
0.444755,0.569112,0.447368,Iris-virginica
0.45035,0.342857,0.38664,Iris-setosa
0.544056,0.55444,0.491903,Iris-virginica
0.451748,0.521236,0.536437,Iris-virginica
0.531469,0.47722,0.52834,Iris-setosa
0.731469,0.552124,0.435223,Iris-setosa
0.597203,0.697297,0.398785,Iris-versicolor
0.462937,0.302703,0.489879,Iris-versicolor
0.633566,0.633205,0.568826,Iris-setosa
0.453147,0.515058,0.406883,Iris-versicolor
0.271329,0.386873,0.487854,Iris-virginica
0.386014,0.583784,0.437247,Iris-virginica
0.28951,0.440154,0.368421,Iris-setosa
0.46014,0.413127,0.417004,Iris-virginica
0.500699,0.426255,0.483806,Iris-versicolor
0.686713,0.476448,0.560729,Iris-versicolor
0.535664,0.342857,0.502024,Iris-virginica
0.474126,0.34749,0.550607,Iris-versicolor
0.591608,0.293436,0.447368,Iris-virginica
0.251748,0.47722,0.427126,Iris-virginica
0.525874,0.437838,0.552632,Iris-versicolor
0.586014,0.372201,0.552632,Iris-versicolor
0.334266,0.498069,0.730769,Iris-versicolor
0.627972,0.595367,0.781377,Iris-setosa
0.537063,0.261776,0.544534,Iris-versicolor
0.453147,0.634749,0.534413,Iris-virginica
0.570629,0.526641,0.730769,Iris-versicolor
0.753846,0.543629,0.497976,Iris-virginica
0.52028,0.636293,0.777328,Iris-virginica
0.527273,0.591506,0.483806,Iris-setosa
0.447552,0.419305,0.635628,Iris-versicolor
0.404196,0.426255,0.447368,Iris-virginica
0.591608,0.579923,0.427126,Iris-virginica
0.404196,0.508108,0.463563,Iris-virginica
0.507692,0.4,0.637652,Iris-virginica
0.446154,0.523552,0.447368,Iris-versicolor
0.552448,0.535135,0.775304,Iris-versicolor
0.537063,0.607722,0.467611,Iris-setosa
0.615385,0.479537,0.536437,Iris-virginica
0.441958,0.429344,0.564777,Iris-setosa
0.468531,0.489575,0.6417,Iris-setosa
0.39021,0.454054,0.593117,Iris-versicolor
0.448951,0.586873,0.651822,Iris-versicolor
