@relation linear_regression_finalmarks

@attribute StudyHours numeric
@attribute Attendance numeric
@attribute InternalMarks numeric
@attribute Projects numeric
@attribute FinalMarks numeric

@data
5,66,19,4,78.48
5,62,14,4,64.4
3,88,11,3,62.35
9,83,25,1,82.92
4,62,11,4,63.02
5,79,19,1,63.97
4,74,11,3,56.68
5,84,25,4,90.85
7,89,25,3,80.5
9,73,28,3,95.27
7,66,16,1,60.1
5,76,21,4,79.38
7,79,24,3,84.44
5,95,17,4,89.53
3,68,15,1,54.43
7,97,19,3,93.31
2,81,12,1,56.73
9,61,28,4,89.29
1,83,26,4,82.55
6,67,16,1,62.08
7,70,29,2,89.71
8,72,13,3,66.03
9,76,23,4,98.75
2,67,29,4,87.23
2,80,24,3,76.66
5,77,17,1,74.75
5,89,24,1,80.57
6,77,29,1,91.59
3,90,23,2,77.69
8,97,18,2,84.07
1,91,17,4,69.39
6,70,26,1,79.98
4,84,11,3,63.05
1,92,12,4,59.25
7,97,17,3,79.09
9,67,21,4,83.52
4,70,10,2,55.15
4,81,19,4,75.65
6,83,29,2,96.27
3,76,12,4,66.04
6,71,15,1,62.32
7,91,16,3,84.71
3,74,29,1,88.57
7,75,27,4,81.78
3,81,20,4,79.96
2,87,28,4,83.64
4,79,14,2,66.7
8,92,28,3,100
9,69,20,3,76.82
7,99,21,4,80.94
1,91,19,4,76.98
3,92,17,2,69.78
9,61,18,1,62.46
1,92,13,1,69.25
9,92,14,3,82.22
8,72,17,2,76.45
1,89,18,4,77.53
6,92,24,3,85.2
5,72,24,2,78.25
6,85,25,1,75.9
5,81,23,2,75.76
6,98,17,1,76.33
5,61,27,2,70.47
5,97,19,3,76.92
4,98,29,1,83.76
3,85,15,3,67.21
3,74,21,3,75.07
4,93,11,1,63.61
9,99,16,1,84.19
2,70,25,4,84.36
9,62,12,4,72.64
1,65,22,4,78.94
1,68,12,3,53.5
5,65,27,3,81.63
6,68,20,4,80.44
6,98,17,3,78.32
3,90,15,3,77.26
7,91,10,1,69.45
9,71,10,1,65.55
8,67,17,3,74.76
6,67,14,4,66.06
8,87,25,2,93.11
5,79,20,4,73.06
8,66,14,2,74.47
4,70,13,4,62.61
8,79,15,1,71.23
2,75,23,3,68.95
5,63,28,3,87.01
9,65,18,1,69.73
4,81,21,2,77.05
6,85,20,2,81.29
1,62,23,2,61.86
9,73,25,1,79.28
1,70,10,2,55.66
5,77,22,1,72.64
4,71,22,4,78.42
3,82,11,4,64.53
6,71,13,1,54.03
2,72,15,3,62.91
3,84,14,4,67.7
5,78,12,2,58.18
9,95,10,1,63.22
2,67,13,2,56.63
8,88,29,2,100
2,91,11,3,61.19
5,77,14,2,56.93
7,65,12,3,58.71
8,77,18,4,78.94
1,78,29,1,84.22
6,81,15,2,67.57
1,96,27,1,76.46
2,91,15,2,55.43
1,62,28,1,66.82
5,87,21,2,71.44
9,69,20,2,73.68
6,94,11,2,67.3
1,88,24,2,72.39
1,74,21,2,74.2
2,92,21,2,78.49
9,66,18,2,71.76
3,71,11,2,49.22
1,89,12,2,63.61
5,80,21,1,81.3
7,90,25,3,80.03
6,83,10,2,62.36
1,79,12,3,54.94
5,96,29,2,95.55
5,63,11,2,65.11
6,87,18,1,70.18
3,79,28,4,76.4
5,83,24,4,88.8
7,91,27,1,96.25
5,95,20,3,79.48
5,93,25,4,86.87
5,95,26,1,82.81
3,61,14,1,57.05
1,74,21,4,68.43
5,93,20,3,82.04
9,95,24,1,90.14
1,65,12,2,49.12
3,98,10,3,66.41
4,71,29,3,82.91
1,62,25,4,70.95
1,77,11,4,60.59
8,99,11,2,67.27
2,80,12,1,49.1
8,74,17,4,72.4
7,92,24,4,96.85
2,94,16,3,68.17
6,85,15,4,68.43
6,67,18,4,78.37
3,95,29,4,90.22
2,89,10,4,56.34
1,82,17,3,63.62
6,73,12,2,69.29
5,73,13,2,59.43
9,61,24,1,82.68
1,96,15,4,71.94
7,64,24,3,83.92
5,97,12,1,70.96
5,73,23,1,70.36
2,98,29,2,81.68
3,84,23,3,72.89
7,79,13,3,68.98
6,61,21,3,69.56
2,98,26,2,83.14
6,65,16,2,65.88
2,76,18,2,68.89
2,84,12,2,58.66
2,87,22,2,71.02
3,61,24,4,77.35
2,94,27,4,82.55
4,96,28,3,91.11
9,64,10,1,61.3
6,60,15,3,65.65
1,99,11,1,57.78
8,71,23,2,78.58
7,95,15,1,78.26
3,82,23,3,86.71
1,90,13,3,52.99
5,70,17,1,57.92
4,69,12,4,61.92
8,62,28,2,85.32
1,73,23,2,77.88
1,75,29,3,81.6
4,69,26,4,89.66
8,88,17,1,65.15
5,69,23,2,79.27
2,71,15,4,59.22
6,89,25,2,82.54
5,60,28,4,83.76
2,64,23,4,65.58
3,79,28,3,86.41
9,67,12,2,67.05
7,71,19,1,72.63
7,60,28,3,90.94
6,79,18,3,82.77
8,87,29,1,91.28
4,96,22,3,84.69
8,96,16,4,85.26
4,71,23,4,80.69
8,96,18,2,83.76
9,87,28,2,100
3,74,24,1,69.4
3,65,29,2,71.37
2,79,23,4,73.71
3,73,15,1,61.69
3,61,13,1,51.42
5,68,17,2,63.56
5,96,26,4,87.42
2,79,18,1,63.31
6,85,10,4,70.72
5,88,29,4,96.43
6,60,23,4,78.23
1,94,20,2,70.93
5,65,12,3,60.7
9,96,18,3,87.25
2,64,23,1,59.28
1,92,18,4,72.59
9,73,13,2,67.2
9,71,13,4,79
9,79,17,4,82.86
6,83,11,2,67.58
8,93,18,3,81.89
1,84,23,4,75.37
4,88,18,4,83.87
1,98,25,3,83.58
8,90,26,2,88.43
1,82,25,1,76.08
3,97,21,3,76.43
4,79,12,1,58.33
8,82,20,1,87.28
6,75,23,3,74.34
7,67,27,4,88.72
8,80,14,1,70.54
2,60,25,1,70.82
8,67,29,2,83.39
3,88,14,4,60.72
7,91,12,1,72.25
3,97,21,2,73
7,64,10,4,59.39
2,81,18,3,75.55
6,93,18,3,79.75
3,60,13,2,53.88
3,85,12,3,61.1
9,69,26,1,79.08
7,89,11,4,75.58
5,77,10,1,57.65
7,76,17,1,70.64
9,85,22,3,88.42
1,67,24,1,64.14
7,99,17,3,86.26
6,71,21,4,79.09
9,86,21,4,89.98
1,67,23,1,66.75
4,84,24,2,80.24
9,63,24,3,93.61
4,92,18,3,66.29
3,60,28,1,75
9,78,29,3,93.87
2,90,17,3,64.29
4,75,28,2,80.21
6,73,15,2,66.67
2,64,29,1,74.7
8,85,28,2,85.91
8,87,13,1,66.39
1,61,16,4,60.71
3,65,13,1,48.12
9,68,21,4,79.33
5,92,22,1,66.82
6,84,12,3,64.38
4,72,21,2,65.35
2,68,11,4,50.98
8,72,11,1,60.24
6,90,18,2,73
5,70,10,1,47.67
9,63,17,2,61.82
1,93,15,2,63.91
5,97,15,1,72.86
6,63,27,4,84.42
5,97,26,4,91.77
6,78,21,3,79.41
6,65,15,2,71.89
7,93,17,3,72.06
4,77,28,3,83.53
8,72,19,1,64.99
7,82,10,1,62.91
9,78,22,1,81.18
7,70,26,2,85.01
3,60,12,1,50.27
3,83,17,1,68.85
8,66,23,2,82.99
5,84,12,2,67.35
4,80,25,4,79.17
8,74,22,1,84.67
6,60,29,1,77.39
2,71,26,1,68.48
4,66,22,4,77.15
4,74,15,1,61.71
6,80,26,4,84.64
6,78,23,3,81.53
1,88,26,4,89.84
8,84,17,3,71.86
6,92,20,1,84.53
3,91,29,3,88.09
9,94,10,4,64.51
2,97,16,2,60.27
8,85,26,3,88.18
3,70,19,3,64.88
5,94,20,1,75.18
6,67,18,4,60.58
6,73,18,3,74.33
4,69,14,3,56.92
3,61,26,3,82.75
4,68,18,3,66.55
1,62,26,2,74.31
4,80,28,4,94.55
1,85,16,1,64.42
1,67,18,1,53.77
6,61,16,2,61.4
5,65,22,4,76.38
4,87,20,3,79.78
3,88,23,2,74.35
1,85,28,4,83.9
6,84,20,3,81.07
2,71,22,2,63.78
8,64,23,4,79.86
5,93,22,1,77.61
7,96,10,1,65.17
2,74,17,4,68.87
8,95,21,1,86.86
2,74,28,4,77.7
4,82,21,3,72.54
1,65,17,4,57.15
5,80,17,3,79.06
9,82,22,2,85
1,75,21,4,71.08
9,74,25,2,87.99
8,84,10,1,60.12
6,95,22,3,93.82
7,70,16,4,76.06
3,74,14,2,59.4
1,63,17,3,53.37
5,80,23,3,75.19
2,72,22,1,64.56
5,81,24,1,74.3
8,78,26,3,85.56
9,93,24,3,92.55
2,73,29,4,83.32
3,63,27,3,78.61
3,86,27,4,84.78
1,88,11,3,52.36
8,87,13,1,64.24
6,94,10,4,76.26
8,67,13,2,59.34
9,75,27,1,90.32
5,95,14,4,77.1
3,89,28,4,89.09
5,77,24,2,87.94
5,61,17,4,71.31
5,72,29,3,96.81
3,63,26,2,70.64
4,85,10,1,52.83
9,84,21,1,84.84
9,89,28,3,97.89
2,70,24,1,76.93
8,66,18,4,79.51
8,90,16,4,76.78
7,69,11,3,55.02
8,98,18,1,79.51
3,72,19,1,63.15
6,90,11,3,69.57
1,66,28,2,79.85
7,95,20,1,85.4
1,79,22,2,65.81
9,63,19,1,66.43
1,66,23,1,57.63
1,60,27,1,64.32
7,72,28,1,83.27
2,81,18,4,71.83
5,80,16,2,64
8,81,12,2,69.7
8,87,29,1,94.91
3,68,15,1,57.12
7,85,11,2,60.36
3,68,15,4,66.24
6,74,12,3,75.11
6,69,25,3,83.93
3,83,17,2,51.63
7,67,11,1,64.3
3,83,26,1,73.89
8,75,18,4,91.83
4,85,21,3,78.08
1,86,12,4,52.38
4,96,20,3,68.98
7,63,10,2,65.6
4,83,22,3,83.93
6,78,24,4,97.53
9,95,14,4,82.55
1,98,26,4,85.12
5,69,15,2,61.29
7,84,20,3,78.41
1,77,27,3,76.14
4,78,13,4,66.99
6,95,12,3,66.78
2,69,22,1,56.85
5,92,18,1,72.9
1,64,15,1,46.87
6,94,21,3,68
6,93,11,2,69.16
4,92,12,2,58.06
8,80,12,2,71.31
4,76,21,2,75.49
8,81,24,1,85.22
8,96,18,1,91.78
5,74,17,4,72.01
4,94,20,3,77.27
2,87,25,3,83.52
3,66,13,2,55.02
3,91,10,1,61.6
4,70,16,2,56.66
4,69,11,4,53.94
5,68,14,3,67.73
4,73,16,3,60.58
8,72,13,2,70.15
6,84,14,4,75.05
6,61,10,3,54.33
8,94,10,4,76.04
7,66,24,4,78.63
8,80,29,2,88.5
2,77,28,1,75.41
9,62,19,2,75.49
1,98,27,1,77.88
8,70,12,4,72.17
4,98,20,1,76.84
4,83,24,4,91.55
5,78,20,3,75.42
8,63,26,3,92.37
5,85,26,3,91.6
8,97,15,2,89.07
1,91,14,2,59.66
9,98,17,4,85.8
6,95,11,3,75.79
3,99,25,2,85.13
8,96,29,3,100
9,92,21,2,90.68
6,95,15,1,59.97
7,62,10,1,56.98
1,68,13,3,55.96
5,67,26,4,84.77
5,92,22,2,79.94
4,65,27,2,70.04
6,98,14,1,74.27
7,63,12,1,60.27
9,72,20,4,90.11
1,61,22,4,60.61
6,64,13,4,68.24
7,86,23,3,85.63
3,91,20,1,71.52
8,80,19,3,79.88
5,67,28,1,82.32
9,97,27,1,94.29
5,67,15,2,57.34
9,62,24,1,80.53
4,62,19,1,61.53
9,81,14,3,75.38
5,65,14,1,42.06
9,61,19,3,80.71
3,82,14,4,65.03
4,61,12,1,45.06
9,97,15,1,81.71
6,76,13,3,69.98
2,94,27,4,86.06
7,93,18,2,73.14
2,82,26,4,83.49
2,89,22,3,76.82
1,67,24,4,77.72
3,81,29,3,84.08
6,95,26,3,97.97
8,64,22,2,75.5
9,72,25,1,77.87
7,88,13,3,66.74
4,90,14,3,68.19
6,75,14,2,65.17
5,89,18,3,77.84
8,75,26,1,84.55
1,71,22,2,71.19
1,76,11,1,47.49
6,75,22,1,65.02
2,71,28,2,76.69
5,67,12,3,50.57
1,79,19,1,63.06
7,62,11,1,61.89
1,75,22,1,60.07
4,89,28,1,91.29
9,82,26,2,95.81
1,87,23,2,78.63
4,99,21,4,85.15
6,64,21,4,72.74
6,79,20,1,77.1
8,99,16,3,79.08
1,60,13,1,47.59
7,89,28,3,94.34
1,80,10,1,54.12
7,79,12,4,74.35
3,65,22,4,73.1
8,81,24,3,79.04
3,77,11,1,49.92
1,67,20,3,68.12
8,98,13,4,81.3
3,91,28,1,75.28
2,92,26,1,69.07
1,75,12,3,55.98
3,71,27,2,72.51
2,97,17,3,66.3
2,93,28,4,92.26
6,73,14,4,75.91
1,95,16,4,65.75
2,92,17,4,71.88
6,82,14,4,72.23
3,61,26,2,72.48
4,80,14,1,60.7
1,61,13,3,56.08
8,86,28,3,92.93
7,68,11,4,58.27
7,60,20,3,82.95
3,70,22,4,80.45
3,62,24,2,65.08
2,82,21,2,70.78
1,85,20,1,70.05
7,63,16,2,70.65
7,77,14,2,70.41
2,65,26,1,69.15
7,94,29,3,100
8,81,18,4,83.4
1,74,23,4,71.13
9,81,21,3,90.66
7,96,15,1,73.28
3,71,26,3,80.55
