@relation linear_regression_finalmarks-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute StudyHours {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-5]\'','\'(5-5.8]\'','\'(5.8-6.6]\'','\'(6.6-7.4]\'','\'(7.4-8.2]\'','\'(8.2-inf)\''}
@attribute Attendance {'\'(-inf-63.9]\'','\'(63.9-67.8]\'','\'(67.8-71.7]\'','\'(71.7-75.6]\'','\'(75.6-79.5]\'','\'(79.5-83.4]\'','\'(83.4-87.3]\'','\'(87.3-91.2]\'','\'(91.2-95.1]\'','\'(95.1-inf)\''}
@attribute InternalMarks {'\'(-inf-11.9]\'','\'(11.9-13.8]\'','\'(13.8-15.7]\'','\'(15.7-17.6]\'','\'(17.6-19.5]\'','\'(19.5-21.4]\'','\'(21.4-23.3]\'','\'(23.3-25.2]\'','\'(25.2-27.1]\'','\'(27.1-inf)\''}
@attribute Projects {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute FinalMarks numeric

@data
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',91.65
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',76.17
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',48.84
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',71.89
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',53.03
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',81.83
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',66.09
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',75.8
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',81.62
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',82.8
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',92.7
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',62.48
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',60.82
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',76.5
'\'(1.8-2.6]\'','\'(-inf-63.9]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',59.97
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',89.78
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',60.16
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',66.86
'\'(3.4-4.2]\'','\'(63.9-67.8]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',58.14
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',69.99
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',89.41
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',68.4
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',56.17
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',76.77
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',68.71
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',82.48
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',85.85
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',94.57
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',73.91
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',88.02
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',70.96
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',93.75
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',82.73
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',54.97
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',78.82
'\'(7.4-8.2]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',56.78
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',82.69
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',72.15
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',79.27
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',88.02
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',79.77
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',81.08
'\'(7.4-8.2]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',91.94
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',75.47
'\'(8.2-inf)\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',82.14
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',61.61
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',90.99
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',100
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',86.28
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',78.11
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',65.38
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',72.15
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',79.71
'\'(2.6-3.4]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',62.1
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',64.51
'\'(7.4-8.2]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',78.49
'\'(2.6-3.4]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',92.31
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',62.53
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',66.21
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',85.33
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',100
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',80.29
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',73.73
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',69.71
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',100
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',56.93
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',87.44
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',72.59
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',77.2
'\'(7.4-8.2]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',88.29
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',49.7
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',58.11
'\'(7.4-8.2]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',84.63
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',69.2
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',57.71
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',79.85
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',70.6
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',62.06
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',70.13
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',48.79
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',75.67
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',89.49
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',73.46
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',93.84
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',63.48
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',98.67
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',58.51
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',78.54
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',67.85
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',96.36
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',67.26
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',94.03
'\'(3.4-4.2]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',51.83
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',79.73
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',82.12
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',83.66
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',78.43
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',94.05
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',66.29
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',71.47
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',86.17
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',70.06
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',79.8
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',76.71
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',75.67
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',82.88
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',96.6
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',84.74
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',74.61
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',84.8
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',61.21
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',58.89
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',90.03
'\'(7.4-8.2]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',71.31
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',84.78
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',78.13
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',67.59
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',61.75
'\'(7.4-8.2]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',66.19
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',63.37
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',82.66
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',91.53
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',82.14
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',77.73
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',71.54
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',92.63
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',72.7
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',66.9
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',67.35
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',47.07
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',77.59
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',70.27
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',77.84
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',72.35
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',49.31
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',70.13
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',74.27
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',67.85
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',88.7
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',60.96
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',83.39
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',66.57
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',77.54
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',52.52
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',74.62
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',94.09
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',79.75
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',72.43
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',76.54
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',93.31
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',78.66
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',69.62
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',74.77
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',57.21
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',67.09
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',47.75
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',75.37
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',73.27
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',72.09
'\'(8.2-inf)\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',96.5
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',67.22
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',70.82
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',58.89
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',64.15
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',90.56
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',74.2
'\'(2.6-3.4]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',71.49
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',86.47
'\'(6.6-7.4]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',61.63
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',62.81
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',85.41
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',62.15
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',79.32
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',81.1
'\'(1.8-2.6]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',82.29
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',71.25
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',70.29
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',78.29
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',86.39
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',71.68
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',82.31
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',67.86
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',90.75
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',84.11
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',72.51
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',68.79
